Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,TC2020-RGB,TC2020RGB,70.00001,-59.250001,90,top
D1,TC2020-RGB,TC2020RGB,51.500001,-59.250001,90,top
D2,TC2020-RGB,TC2020RGB,82.50001,-62.250001,270,top
D2,TC2020-RGB,TC2020RGB,64.000001,-62.250001,270,top
D3,TC2020-RGB,TC2020RGB,51.500001,-65.250001,90,top
D3,TC2020-RGB,TC2020RGB,70.00001,-65.250001,90,top
D4,TC2020-RGB,TC2020RGB,64.000001,-68.250001,270,top
D4,TC2020-RGB,TC2020RGB,82.50001,-68.250001,270,top
D5,TC2020-RGB,TC2020RGB,70.00001,-71.250001,90,top
D5,TC2020-RGB,TC2020RGB,51.500001,-71.250001,90,top
D6,TC2020-RGB,TC2020RGB,82.50001,-74.250001,270,top
D6,TC2020-RGB,TC2020RGB,64.000001,-74.250001,270,top
D7,TC2020-RGB,TC2020RGB,51.500001,-77.250001,90,top
D7,TC2020-RGB,TC2020RGB,70.00001,-77.250001,90,top
D8,TC2020-RGB,TC2020RGB,64.000001,-80.250001,270,top
D8,TC2020-RGB,TC2020RGB,82.50001,-80.250001,270,top
D9,TC2020-RGB,TC2020RGB,54.000001,-59.250001,90,top
D9,TC2020-RGB,TC2020RGB,72.50001,-59.250001,90,top
D10,TC2020-RGB,TC2020RGB,61.500001,-62.250001,270,top
D10,TC2020-RGB,TC2020RGB,80.00001,-62.250001,270,top
D11,TC2020-RGB,TC2020RGB,54.000001,-65.250001,90,top
D11,TC2020-RGB,TC2020RGB,72.50001,-65.250001,90,top
D12,TC2020-RGB,TC2020RGB,61.500001,-68.250001,270,top
D12,TC2020-RGB,TC2020RGB,80.00001,-68.250001,270,top
D13,TC2020-RGB,TC2020RGB,72.50001,-71.250001,90,top
D13,TC2020-RGB,TC2020RGB,54.000001,-71.250001,90,top
D14,TC2020-RGB,TC2020RGB,80.00001,-74.250001,270,top
D14,TC2020-RGB,TC2020RGB,61.500001,-74.250001,270,top
D15,TC2020-RGB,TC2020RGB,72.50001,-77.250001,90,top
D15,TC2020-RGB,TC2020RGB,54.000001,-77.250001,90,top
D16,TC2020-RGB,TC2020RGB,80.00001,-80.250001,270,top
D16,TC2020-RGB,TC2020RGB,61.500001,-80.250001,270,top
D17,TC2020-RGB,TC2020RGB,75.00001,-59.250001,90,top
D17,TC2020-RGB,TC2020RGB,56.500001,-59.250001,90,top
D18,TC2020-RGB,TC2020RGB,77.50001,-62.250001,270,top
D18,TC2020-RGB,TC2020RGB,59.000001,-62.250001,270,top
D19,TC2020-RGB,TC2020RGB,75.00001,-65.250001,90,top
D19,TC2020-RGB,TC2020RGB,56.500001,-65.250001,90,top
D20,TC2020-RGB,TC2020RGB,77.50001,-68.250001,270,top
D20,TC2020-RGB,TC2020RGB,59.000001,-68.250001,270,top
D21,TC2020-RGB,TC2020RGB,75.00001,-71.250001,90,top
D21,TC2020-RGB,TC2020RGB,56.500001,-71.250001,90,top
D22,TC2020-RGB,TC2020RGB,59.000001,-74.250001,270,top
D22,TC2020-RGB,TC2020RGB,77.50001,-74.250001,270,top
D23,TC2020-RGB,TC2020RGB,56.500001,-77.250001,90,top
D23,TC2020-RGB,TC2020RGB,75.00001,-77.250001,90,top
D24,TC2020-RGB,TC2020RGB,59.000001,-80.250001,270,top
D24,TC2020-RGB,TC2020RGB,77.50001,-80.250001,270,top
D25,TC2020-RGB,TC2020RGB,59.000001,-59.250001,90,top
D25,TC2020-RGB,TC2020RGB,77.50001,-59.250001,90,top
D26,TC2020-RGB,TC2020RGB,56.500001,-62.250001,270,top
D26,TC2020-RGB,TC2020RGB,75.00001,-62.250001,270,top
D27,TC2020-RGB,TC2020RGB,59.000001,-65.250001,90,top
D27,TC2020-RGB,TC2020RGB,77.50001,-65.250001,90,top
D28,TC2020-RGB,TC2020RGB,75.00001,-68.250001,270,top
D28,TC2020-RGB,TC2020RGB,56.500001,-68.250001,270,top
D29,TC2020-RGB,TC2020RGB,77.50001,-71.250001,90,top
D29,TC2020-RGB,TC2020RGB,59.000001,-71.250001,90,top
D30,TC2020-RGB,TC2020RGB,56.500001,-74.250001,270,top
D30,TC2020-RGB,TC2020RGB,75.00001,-74.250001,270,top
D31,TC2020-RGB,TC2020RGB,59.000001,-77.250001,90,top
D31,TC2020-RGB,TC2020RGB,77.50001,-77.250001,90,top
D32,TC2020-RGB,TC2020RGB,56.500001,-80.250001,270,top
D32,TC2020-RGB,TC2020RGB,75.00001,-80.250001,270,top
D33,TC2020-RGB,TC2020RGB,61.500001,-59.250001,90,top
D33,TC2020-RGB,TC2020RGB,80.00001,-59.250001,90,top
D34,TC2020-RGB,TC2020RGB,54.000001,-62.250001,270,top
D34,TC2020-RGB,TC2020RGB,72.50001,-62.250001,270,top
D35,TC2020-RGB,TC2020RGB,61.500001,-65.250001,90,top
D35,TC2020-RGB,TC2020RGB,80.00001,-65.250001,90,top
D36,TC2020-RGB,TC2020RGB,72.50001,-68.250001,270,top
D36,TC2020-RGB,TC2020RGB,54.000001,-68.250001,270,top
D37,TC2020-RGB,TC2020RGB,80.00001,-71.250001,90,top
D37,TC2020-RGB,TC2020RGB,61.500001,-71.250001,90,top
D38,TC2020-RGB,TC2020RGB,72.50001,-74.250001,270,top
D38,TC2020-RGB,TC2020RGB,54.000001,-74.250001,270,top
D39,TC2020-RGB,TC2020RGB,80.00001,-77.250001,90,top
D39,TC2020-RGB,TC2020RGB,61.500001,-77.250001,90,top
D40,TC2020-RGB,TC2020RGB,72.50001,-80.250001,270,top
D40,TC2020-RGB,TC2020RGB,54.000001,-80.250001,270,top
D41,TC2020-RGB,TC2020RGB,82.50001,-59.250001,90,top
D41,TC2020-RGB,TC2020RGB,64.000001,-59.250001,90,top
D42,TC2020-RGB,TC2020RGB,51.500001,-62.250001,270,top
D42,TC2020-RGB,TC2020RGB,70.00001,-62.250001,270,top
D43,TC2020-RGB,TC2020RGB,82.50001,-65.250001,90,top
D43,TC2020-RGB,TC2020RGB,64.000001,-65.250001,90,top
D44,TC2020-RGB,TC2020RGB,70.00001,-68.250001,270,top
D44,TC2020-RGB,TC2020RGB,51.500001,-68.250001,270,top
D45,TC2020-RGB,TC2020RGB,82.50001,-71.250001,90,top
D45,TC2020-RGB,TC2020RGB,64.000001,-71.250001,90,top
D46,TC2020-RGB,TC2020RGB,70.00001,-74.250001,270,top
D46,TC2020-RGB,TC2020RGB,51.500001,-74.250001,270,top
D47,TC2020-RGB,TC2020RGB,82.50001,-77.250001,90,top
D47,TC2020-RGB,TC2020RGB,64.000001,-77.250001,90,top
D48,TC2020-RGB,TC2020RGB,51.500001,-80.250001,270,top
D48,TC2020-RGB,TC2020RGB,70.00001,-80.250001,270,top
